pid,agency,agencyId,title,deadline,reference,budget,details,oneLiner,keywords
0,nsf,nsf19524,Training based Workforce Development for Advanced Cyberinfrastructure CyberTraining,2/14/2019,https://www.nsf.gov/pubs/2019/nsf19524/nsf19524.htm,,This program seeks to prepare nurture and grow the national scientific research workforce for creating utilizing and supporting advanced cyberinfrastructure CI to enable and potentially transform fundamental science and engineering research and contribute to the Nation s overall economic competitiveness and security . The goals of this solicitation are to i ensure broad adoption of CI tools methods and resources by the research community in order to catalyze major research advances and to enhance researchers abilities to lead the development of new CI and ii integrate core literacy and discipline appropriate advanced skills in advanced CI as well as computational and data driven science and engineering into the Nation s educational curriculum instructional material fabric spanning undergraduate and graduate courses for advancing fundamental research . Pilot and Implementation projects may target one or both of the solicitation goals while Large scale Project Conceptualization projects must address both goals . For the purpose of this solicitation advanced CI is broadly defined as the set of resources tools methods and services for advanced computation large scale data handling and analytics and networking and security for large scale systems that collectively enable potentially transformative fundamental research . This solicitation calls for innovative scalable training education and curriculum instructional materials targeting one or both of the solicitation goals to address the emerging needs and unresolved bottlenecks in scientific and engineering research workforce development from the postsecondary level to active researchers . The funded activities spanning targeted multidisciplinary communities will lead to transformative changes in the state of research workforce preparedness for advanced CI enabled research in the short and long terms . As part of this investment this solicitation also seeks to broaden CI access and adoption by i increasing or deepening accessibility of methods and resources of advanced CI and of computational and data driven science and engineering by a wide range of scientific disciplines and institutions with lower levels of CI adoption to date and ii harnessing the capabilities of larger segments of diverse underrepresented groups . Proposals from and in partnership with the aforementioned communities are especially encouraged . There are three project classes as defined below Pilot Projects up to 300 000 total budget with durations up to two years Implementation Projects Small with total budgets of up to 500 000 or Medium with total budgets of up to 1 000 000 for durations of up to four years andLarge scale Project Conceptualization Projects up to 500 000 total budgets with durations up to 2 years . Section II . Program Description provides a more complete description of the project classes . Section V . A . Proposal Preparation Instructions describes the proposal elements required for the various project classes in order to address the suitable set of solicitation specific review criteria . The CyberTraining program is led by the Office of Advanced Cyberinfrastructure OAC in the Directorate for Computer and Information Science and Engineering CISE and has participation from several directorates and divisions as described in Section II . Program Description Programmatic Areas of Interest . Not all directorates divisions are participating at the same level and some have specific research and education priorities . The appropriate contact for the CyberTraining program in any directorate division is the Cognizant Program Officer PO for the respective directorate division office program listed . All projects are expected to clearly articulate how they address important community needs and will provide resources that will be widely available to and usable by the research community . Prospective principal investigators PIs are strongly encouraged to contact the Cognizant Program Officers in CISE OAC and in the participating directorate division relevant to the proposal to ascertain whether the focus and budget of their proposed activities are appropriate for this solicitation . Such consultations should be completed at least one month in advance of the submission deadline . PIs should include the names of the Cognizant Program Officers consulted in a Single Copy Document as described in Section V . A . Proposal Preparation Instructions . The intent of the CyberTraining program is to stimulate co funding between OAC and one or more domain directorates divisions . For this purpose units of CISE other than OAC are considered domain divisions . To ensure relevance to community needs and to facilitate adoption those proposals of interest to one or more domain divisions must include at least one PI co PI with expertise relevant to the targeted research discipline . All proposals shall include at least one PI co PI with expertise relevant to OAC . Prospective PIs contemplating submissions that primarily target communities relevant to directorates divisions that are not participating in this solicitation are directed to instead explore the education and workforce development programs of the respective directorates divisions .,"The goals of this solicitation are to i ensure broad adoption of CI tools methods and resources by the research community in order to catalyze major research advances and to enhance researchers abilities to lead the development of new CI and ii integrate core literacy and discipline appropriate advanced skills in advanced CI as well as computational and data driven science and engineering into the Nation s educational curriculum instructional material fabric spanning undergraduate and graduate courses for advancing fundamental research .
This solicitation calls for innovative scalable training education and curriculum instructional materials targeting one or both of the solicitation goals to address the emerging needs and unresolved bottlenecks in scientific and engineering research workforce development from the postsecondary level to active researchers .
The CyberTraining program is led by the Office of Advanced Cyberinfrastructure OAC in the Directorate for Computer and Information Science and Engineering CISE and has participation from several directorates and divisions as described in Section II .
Prospective principal investigators PIs are strongly encouraged to contact the Cognizant Program Officers in CISE OAC and in the participating directorate division relevant to the proposal to ascertain whether the focus and budget of their proposed activities are appropriate for this solicitation .
Prospective PIs contemplating submissions that primarily target communities relevant to directorates divisions that are not participating in this solicitation are directed to instead explore the education and workforce development programs of the respective directorates divisions .","[""research"",""solicitation"",""advanced"",""divisions""]"
1,nsf,nsf21598,Advanced Technological Education ATE,10/14/2021,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,approximately $75.0 million,With a focus on two year Institutions of Higher Education IHEs the Advanced Technological Education ATE program supports the education of technicians for the high technology fields that drive our nation s economy . The program involves partnerships between academic institutions grades 7 12 IHEs industry and economic development agencies to promote improvement in the education of science and engineering technicians at the undergraduate and secondary institution school levels . The ATE program supports curriculum development professional development of college faculty and secondary school teachers career pathways and other activities . The program invites applied research proposals that advance the knowledge base related to technician education . It is required that projects be faculty driven and that courses and programs are credit bearing although materials developed may also be used for incumbent worker education . The ATE program encourages partnerships with other entities that may impact technician education . For example withthe National Institute of Standards and Technology NIST Manufacturing Extension Partnerships MEPs http www . nist . gov mep index . cfm as applicable to support technician education programs and the industries they serve Manufacturing USA Institutes https manufacturing . gov addressing workforce development issues also see DCL NSF 16 007 andNSF Industry University Cooperative Research Centers Program I UCRC awardees https www . nsf . gov eng iip iucrc also see DCL NSF 21 076 . The ATE program encourages proposals from Minority Serving Institutions as well as other institutions that support the recruitment retention and completion certificate degree program of groups historically underrepresented in STEM in technician education programs that award associate degrees . NSF is particularly interested in proposals from all types of Minority Serving Institutions including Hispanic Serving Institutions Historically Black Colleges and Universities Tribal Colleges and Universities and Alaska Native and Native Hawaiian Serving Institutions where groups historically underrepresented in STEM are showing increased interest in advanced technology careers .,"The program involves partnerships between academic institutions grades 7 12 IHEs industry and economic development agencies to promote improvement in the education of science and engineering technicians at the undergraduate and secondary institution school levels .
For example withthe National Institute of Standards and Technology NIST Manufacturing Extension Partnerships MEPs http www .
gov addressing workforce development issues also see DCL NSF 16 007 andNSF Industry University Cooperative Research Centers Program I UCRC awardees https www .","[""program"",""education"",""development"",""nstitutions""]"
2,nsf,nsf21528,Campus Cyberinfrastructure CC,3/1/2021,https://www.nsf.gov/pubs/2021/nsf21528/nsf21528.htm,"$13,000,000 to $15,000,000",The Campus Cyberinfrastructure CC program invests in coordinated campus level networking and cyberinfrastructure improvements innovation integration and engineering for science applications and distributed research projects . Learning and workforce development LWD in cyberinfrastructure is explicitly addressed in the program . Science driven requirements are the primary motivation for any proposed activity .,,"[""cyberinfrastructure"",""program"",""integration"",""yberinfrastructure"",""ampus""]"
3,nsf,nsf21550,"NSF Scholarships in Science , Technology , Engineering , and Mathematics S STEM",4/7/2021,https://www.nsf.gov/pubs/2021/nsf21550/nsf21550.htm,"$80,000,000 to $115,000,000",The main goal of the S STEM program is to enable low income talented domestic students to pursue successful careers in promising STEM fields . Ultimately the S STEM program wants to increase the number of low income students who graduate and contribute to the American innovation economy with their STEM knowledge . Recognizing that financial aid alone cannot increase retention and graduation in STEM the program provides awards to Institutions of Higher Education IHEs to fund scholarships and to adapt implement and study effective evidence based curricular and co curricular activities that support recruitment retention transfer if appropriate student success academic career pathways and graduation in STEM . The program seeks to 1 increase the number of low income academically talented students with demonstrated financial need obtaining degrees in S STEM eligible disciplines and entering the US workforce or graduate programs in STEM 2 improve support mechanisms for future scientists engineers and technicians with a focus on low income academically talented students with demonstrated financial need and 3 advance our understanding of how interventions or evidence based curricular and co curricular activities affect the success retention transfer academic career pathways and graduation of low income students in STEM . The S STEM program encourages collaborations among different types of participating groups including but not limited to partnerships among different types of institutions collaborations of STEM faculty and institutional educational and social science researchers and partnerships among institutions of higher education and business industry local community organizations national labs or other federal or state government organizations if appropriate . Scholars must be domestic low income academically talented students with demonstrated unmet financial need who are enrolled in an associate baccalaureate or graduate degree program in an S STEM eligible discipline . Proposers must provide an analysis that articulates the population of students they are trying to serve . This analysis must include the predicted number of students who meet all the eligibility requirements at the time of proposal submission as a proxy measure of the pool of students that would qualify in the future if the proposal is awarded . This number may be based on current and or historical data about students who are currently pursuing degrees in the STEM disciplines targeted by the proposal . S STEM Eligible Degree ProgramsAssociate of Arts Associate of Science Associate of Engineering and Associate of Applied ScienceBachelor of Arts Bachelor of Science Bachelor of Engineering and Bachelor of Applied ScienceMaster of Arts Master of Science and Master of EngineeringDoctoralS STEM Eligible DisciplinesBiological sciences except medicine and other clinical fields Physical sciences including physics chemistry astronomy and materials science Mathematical sciencesComputer and information sciencesGeosciencesEngineeringTechnology fields associated with the disciplines above e . g . biotechnology chemical technology engineering technology information technology Note that programs in business schools that lead to Bachelor of Arts or Science in Business Administration degrees BABA BSBA are not eligible for S STEM funding . Proposers are strongly encouraged to contact Program Officers before submitting a proposal if they have questions concerning degree eligibility . The S STEM program particularly encourages proposals from 2 year institutions Minority Serving Institutions MSIs Historically Black Colleges and Universities HBCUs Hispanic Serving Institutions HSIs tribal colleges and universities and urban and rural public institutions .,"Recognizing that financial aid alone cannot increase retention and graduation in STEM the program provides awards to Institutions of Higher Education IHEs to fund scholarships and to adapt implement and study effective evidence based curricular and co curricular activities that support recruitment retention transfer if appropriate student success academic career pathways and graduation in STEM .
The program seeks to 1 increase the number of low income academically talented students with demonstrated financial need obtaining degrees in S STEM eligible disciplines and entering the US workforce or graduate programs in STEM 2 improve support mechanisms for future scientists engineers and technicians with a focus on low income academically talented students with demonstrated financial need and 3 advance our understanding of how interventions or evidence based curricular and co curricular activities affect the success retention transfer academic career pathways and graduation of low income students in STEM .","[""students"",""program"",""low""]"
5,nsf,nsf21580,CyberCorps R Scholarship for Service SFS Defending America s Cyberspace,7/28/2021,https://www.nsf.gov/pubs/2021/nsf21580/nsf21580.htm,"20,000,000",Cyberspace has transformed the daily lives of people . Society s overwhelming reliance on cyberspace however has exposed the system s fragility and vulnerabilities corporations agencies national infrastructure and individuals continue to suffer cyber attacks . Achieving a truly secure cyberspace requires addressing both challenging scientific and engineering problems involving many components of a system and vulnerabilities that stem from human behaviors and choices . Examining the fundamentals of security and privacy as a multidisciplinary subject can lead to fundamentally new ways to design build and operate cyber systems protect existing infrastructure and motivate individuals to learn about cybersecurity . The Cybersecurity Enhancement Act of 2014 as amended by the National Defense Authorization Acts for 2018 and 2021 authorizes the National Science Foundation in coordination with the Office of Personnel Management and the Department of Homeland Security to offer a scholarship program to recruit and train the next generation of cybersecurity professionals to meet the needs of the cybersecurity mission for federal state local and tribal governments . The goals of the CyberCorps R Scholarship for Service SFS program are aligned with the U . S . strategy to develop a superior cybersecurity workforce . These goals are to increase the quantity of new entrants to the government cyber workforce to increase the national capacity for the education of cybersecurity professionals to increase national research and development capabilities in critical information infrastructure protection and to strengthen partnerships between institutions of higher education and relevant employment sectors . The SFS program welcomes proposals to establish or to continue scholarship programs in cybersecurity . All scholarship recipients must work after graduation for a federal state local or tribal Government organization in a position related to cybersecurity for a period equal to the length of the scholarship . A proposing institution must provide clearly documented evidence of a strong existing academic program in cybersecurity . Such evidence can include ABET accreditation in cybersecurity a designation by the National Security Agency and the Department of Homeland Security as a Center of Academic Excellence in Cyber Defense Education CAE CDE in Cyber Operations CAE CO or in Research CAE R or equivalent evidence documenting a strong program in cybersecurity . The SFS program also supports efforts leading to an increase in the ability of the United States higher education enterprise to produce cybersecurity professionals . Funding opportunities in this area are provided via the Secure and Trustworthy Cyberspace Education Designation SaTC EDU and other programs see the section Increasing National Capacity in Cybersecurity Education for more details .,"The Cybersecurity Enhancement Act of 2014 as amended by the National Defense Authorization Acts for 2018 and 2021 authorizes the National Science Foundation in coordination with the Office of Personnel Management and the Department of Homeland Security to offer a scholarship program to recruit and train the next generation of cybersecurity professionals to meet the needs of the cybersecurity mission for federal state local and tribal governments .
These goals are to increase the quantity of new entrants to the government cyber workforce to increase the national capacity for the education of cybersecurity professionals to increase national research and development capabilities in critical information infrastructure protection and to strengthen partnerships between institutions of higher education and relevant employment sectors .","[""cybersecurity"",""program"",""scholarship"",""he"",""ational""]"
87,nsf,nsf03503,"2003 CALL FOR NOMINATIONS PAESMEM Presidential Awards for Excellence in Science , Mathematics and Engineering Mentoring",2/28/2003,https://www.nsf.gov/pubs/2003/nsf03503/nsf03503.htm,"200,000",The PAESMEM Program seeks to identify outstanding mentoring efforts that enhance the participation of groups i . e . women minorities and persons with disabilities that are underrepresented in science technology engineering and mathematics . The awardees serve as leaders in the national effort to develop fully the Nation s human resources in science technology engineering and mathematics .,,"[""engineering"",""he"",""science"",""technology"",""mathematics""]"
88,nsf,nsf04525,"Presidential Awards for Excellence in Science , Mathematics and Engineering Mentoring Presidential Awards for Excellence in Science , Mathematics and Engineering Mentoring PAESMEM",3/2/2004,https://www.nsf.gov/pubs/2004/nsf04525/nsf04525.htm,"200,000",The PAESMEM Program seeks to identify outstanding mentoring efforts that enhance the participation of groups i . e . women minorities and persons with disabilities that are underrepresented in science technology engineering and mathematics . The awardees serve as leaders in the national effort to develop fully the Nation s human resources in science technology engineering and mathematics .,,"[""engineering"",""he"",""technology"",""science"",""mathematics""]"
90,nsf,nsf03583,Collaborative Research in Chemistry CRC,10/27/2003,https://www.nsf.gov/pubs/2003/nsf03583/nsf03583.htm,"3,000,000",The CRC Program is designed to promote interdisciplinary collaborative research in a coherent defined project at the forefront of the chemical sciences . CRC proposals will involve three or more investigators with complementary expertise . Co investigators may include researchers with backgrounds in diverse areas of chemistry and other science and engineering disciplines appropriate to the proposed research . The use of cyber infrastructure to enable and enhance collaborations is encouraged . Projects should be scientifically focused in areas supported by the NSF Division of Chemistry limited in duration and substantial in their scope and impact .,Co investigators may include researchers with backgrounds in diverse areas of chemistry and other science and engineering disciplines appropriate to the proposed research .,"[""investigators"",""areas"",""he"",""research""]"
91,nsf,nsf04601,Collaborative Research in Chemistry CRC,2/16/2005,https://www.nsf.gov/pubs/2004/nsf04601/nsf04601.htm,"3,000,000",The CRC Program is designed to promote interdisciplinary collaborative research in a coherent defined project at the forefront of the chemical sciences . CRC proposals will involve three or more investigators with complementary expertise . Co investigators may include researchers with backgrounds in diverse areas of chemistry and other science and engineering disciplines appropriate to the proposed research . The use of cyber infrastructure to enable and enhance collaborations is encouraged . Projects should be scientifically focused in areas supported by the NSF Division of Chemistry limited in duration and substantial in their scope and impact . In Fiscal Year 2005 the CRC Program will use preliminary proposals to identify promising projects . Full CRC proposals will be considered by invitation only based on peer review of preliminary proposals .,In Fiscal Year 2005 the CRC Program will use preliminary proposals to identify promising projects .,"[""proposals"",""research"",""rogram"",""investigators""]"
93,nsf,nsf04592,Digital Archiving and Long Term Preservation DIGARCH,9/14/2004,https://www.nsf.gov/pubs/2004/nsf04592/nsf04592.htm,"2,300,000",The goal of this program is to stimulate research that builds capabilities for long term management and preservation of digital materials . As more research disciplines and societal sectors have come to rely on data driven models and observational data the archiving problem is growing the shortcomings of current technologies have become apparent and the need to preserve historical material has become imperative . This program will support both technical and sociotechnical research topics . Candidate topics include scientific data such as astronomy and the human genome government material such as drug testing records private for profit media such as film and music recordings andpublic documents such as those associated with the government rulemaking process . Content may include text databases electronic documents images sound video and other object types .,The goal of this program is to stimulate research that builds capabilities for long term management and preservation of digital materials .,"[""research"",""data"",""program"",""material"",""include"",""government""]"
