,names,descriptions,titles,research,links,gs_names,affiliation,scholar_id,cited_by,url_pic,email_domain,nsf_id,score
0,"Agostinelli, Forest",Assistant Professor,Faculty,"['Artificial Intelligence, Deep Learning, Reinforcement Learning, Search, Bioinformatics']","['https://www.nsf.gov/pubs/2020/nsf20540/nsf20540.htm', 'https://www.nsf.gov/pubs/2018/nsf18501/nsf18501.htm', 'https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm', 'https://www.nsf.gov/pubs/2018/nsf18591/nsf18591.htm', 'https://www.nsf.gov/pubs/2008/nsf08514/nsf08514.htm', 'https://www.nsf.gov/pubs/2003/nsf03600/nsf03600.htm', 'https://www.nsf.gov/pubs/2015/nsf15595/nsf15595.htm', 'https://www.nsf.gov/pubs/2014/nsf14504/nsf14504.htm', 'https://www.nsf.gov/pubs/2016/nsf16607/nsf16607.htm', 'https://www.nsf.gov/pubs/2011/nsf11505/nsf11505.htm']",Forest Agostinelli,Assistant Professor at the University of South Carolina,R3ru5X8AAAAJ,791,https://scholar.google.com/citations?view_op=medium_photo&user=R3ru5X8AAAAJ,@cse.sc.edu,"['nsf20540', 'nsf18501', 'nsf20609', 'nsf18591', 'nsf08514', 'nsf03600', 'nsf15595', 'nsf14504', 'nsf16607', 'nsf11505']","[0.8736002445220947, 0.8415780067443848, 0.8377386331558228, 0.8357835412025452, 0.8329960107803345, 0.832922101020813, 0.8321096897125244, 0.831933856010437, 0.8296177387237549, 0.8271920680999756]"
1,"Ahmad, Iftikhar",Assistant Professor,Faculty,"['Previous position Senior Scientist , Sensor Electronic Technology , Inc . Ph . D . Texas Tech UniversityResearch interests growth and study of ultra wide bandgap semiconductors including high aluminum content AlGaN , boron nitride and gallium oxide , fabrication of novel high power electronic and photonic devices , and computer simulation of these devices']","['https://www.nsf.gov/pubs/2003/nsf03512/nsf03512.htm', 'https://www.nsf.gov/pubs/2004/nsf04522/nsf04522.htm', 'https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm', 'https://www.nsf.gov/pubs/2005/nsf05526/nsf05526.htm', 'https://www.nsf.gov/pubs/2004/nsf04540/nsf04540.htm', 'https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm', 'https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm', 'https://www.nsf.gov/pubs/2016/nsf16604/nsf16604.htm', 'https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm', 'https://www.nsf.gov/pubs/2006/nsf06516/nsf06516.htm']",,,,,,,"['nsf03512', 'nsf04522', 'nsf10614', 'nsf05526', 'nsf04540', 'nsf16537', 'nsf15550', 'nsf16604', 'nsf20511', 'nsf06516']","[0.8355693221092224, 0.8255509734153748, 0.8188300132751465, 0.7907220125198364, 0.7723832130432129, 0.7685566544532776, 0.7614727020263672, 0.7588112354278564, 0.7540980577468872, 0.7529587149620056]"
2,"Alexeev, Oleg S.","Research Professor, Chemical Engineering",Faculty,"['Ph . D . , Boreskov Institute of Catalysis , Novosibirsk , RussiaM . S . , Novosibirsk State University , Novosibirsk , RussiaCatalytic processes on surfaces take place through sequences of elementary reactions involving adsorbed reactants , products , and reaction intermediates associated with active sites on the catalyst surface . Our research goals are focused on fundamental understanding of the structure of the metal support interface , structures of metal clusters on supports , and the influence of promoters on the structure and catalytic properties of supported metal clusters and aggregates . The objectives of our research program are pursued through an application of a combination of various experimental methods to the characterization of catalytic materials . Spectroscopic techniques , including TPD , TPR , FTIR , XPS , HRTEM , XRD , UV Visible , and EXAFS , are used to characterize active sites of catalysts and adsorbed species under actual conditions of catalysis . Considerable information gained from these techniques along with the chemisorption and catalytic data is used to establish the dependence of catalytic properties on metal cluster or particle sizes , the structure of active sites , and the structure of the metal support interface .']","['https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm', 'https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm', 'https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm', 'https://www.nsf.gov/pubs/2004/nsf04503/nsf04503.htm', 'https://www.nsf.gov/pubs/2005/nsf05522/nsf05522.htm', 'https://www.nsf.gov/pubs/2007/nsf07600/nsf07600.htm', 'https://www.nsf.gov/pubs/2004/nsf04534/nsf04534.htm', 'https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm', 'https://www.nsf.gov/pubs/2012/nsf12593/nsf12593.htm', 'https://www.nsf.gov/pubs/2006/nsf06563/nsf06563.htm']",,,,,,,"['nsf18561', 'nsf20577', 'nsf19577', 'nsf04503', 'nsf05522', 'nsf07600', 'nsf04534', 'nsf17580', 'nsf12593', 'nsf06563']","[0.7714359760284424, 0.758408784866333, 0.758408784866333, 0.7514491081237793, 0.7514491081237793, 0.7514491081237793, 0.7491034865379333, 0.7420763969421387, 0.7418603897094727, 0.7378522157669067]"
3,"Ali, Mohammod","Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A32301 Main StreetColumbia , SC 29208Dr . Mohammod Ali is a professor in the Department of Electrical Engineering at the University of South Carolina USC . As of July 2019 , he has been working as a Program Director at the National Science Foundation NSF under IPA Intergovernmental Personnel Act assignment in the Division of Electrical , Communications , and Cyber Systems for the Directorate of Engineering . Prof . Ali received his B . Sc . in Electrical and Electronic Engineering from the Bangladesh University of Engineering and Technology , Dhaka in 1987 . He received his M . A . Sc . and Ph . D . degrees in Electrical Engineering in 1994 and 1997 , respectively from the University of Victoria , British Columbia , Canada .']","['https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm', 'https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm', 'https://www.nsf.gov/pubs/2016/nsf16616/nsf16616.htm', 'https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm', 'https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm', 'https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm', 'https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm', 'https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm', 'https://www.nsf.gov/pubs/2005/nsf05505/nsf05505.htm', 'https://www.nsf.gov/pubs/2003/nsf03607/nsf03607.htm']",,,,,,,"['nsf19529', 'nsf17601', 'nsf16616', 'nsf20511', 'nsf16537', 'nsf18569', 'nsf14529', 'nsf15550', 'nsf05505', 'nsf03607']","[0.7946670055389404, 0.7943930625915527, 0.7943930625915527, 0.7881444692611694, 0.7822357416152954, 0.7777830958366394, 0.7776849269866943, 0.7747198343276978, 0.7731669545173645, 0.773135781288147]"
4,"Ammal, Salai C.","Research Assistant Professor, Chemical Engineering",Faculty,"['CV of Dr . Ammal pdfPh . D . , Bharathidasan University , India , 1998M . S . , Bharathidasan University , India , 1992']","['https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2007/nsf07534/nsf07534.htm', 'https://www.nsf.gov/pubs/2003/nsf03575/nsf03575.htm', 'https://www.nsf.gov/pubs/2004/nsf04600/nsf04600.htm', 'https://www.nsf.gov/pubs/2015/nsf15551/nsf15551.htm', 'https://www.nsf.gov/pubs/2005/nsf05617/nsf05617.htm', 'https://www.nsf.gov/pubs/2008/nsf08593/nsf08593.htm', 'https://www.nsf.gov/pubs/2005/nsf05601/nsf05601.htm', 'https://www.nsf.gov/pubs/2004/nsf04615/nsf04615.htm', 'https://www.nsf.gov/pubs/2006/nsf06592/nsf06592.htm']",,,,,,,"['nsf04538', 'nsf07534', 'nsf03575', 'nsf04600', 'nsf15551', 'nsf05617', 'nsf08593', 'nsf05601', 'nsf04615', 'nsf06592']","[0.6894329190254211, 0.686825156211853, 0.6834016442298889, 0.680368185043335, 0.6798074245452881, 0.6762972474098206, 0.6750402450561523, 0.6746354103088379, 0.6746354103088379, 0.6746354103088379]"
5,"Bakos, Jason D. ","Professor, Computer Science & Engineering",Faculty,"['computer architecture, reconfigurable computing, heterogeneous computing, high performance computing, embedded systems']","['https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm', 'https://www.nsf.gov/pubs/2005/nsf05629/nsf05629.htm', 'https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm', 'https://www.nsf.gov/pubs/2015/nsf15511/nsf15511.htm', 'https://www.nsf.gov/pubs/2014/nsf14516/nsf14516.htm', 'https://www.nsf.gov/pubs/2007/nsf07504/nsf07504.htm', 'https://www.nsf.gov/pubs/2007/nsf07523/nsf07523.htm', 'https://www.nsf.gov/pubs/2005/nsf05626/nsf05626.htm', 'https://www.nsf.gov/pubs/2008/nsf08584/nsf08584.htm', 'https://www.nsf.gov/pubs/2013/nsf13507/nsf13507.htm']",Jason D. Bakos,"Professor of Computer Science and Engineering, University of South Carolina",pXa_QqEAAAAJ,807,https://scholar.google.com/citations?view_op=medium_photo&user=pXa_QqEAAAAJ,@cse.sc.edu,"['nsf04609', 'nsf05629', 'nsf18569', 'nsf15511', 'nsf14516', 'nsf07504', 'nsf07523', 'nsf05626', 'nsf08584', 'nsf13507']","[0.8407635688781738, 0.8251955509185791, 0.8237296342849731, 0.8216332197189331, 0.8216332197189331, 0.8184725046157837, 0.8149334788322449, 0.8149334788322449, 0.8125330209732056, 0.8115487098693848]"
6,"Banerjee, Sourav ","Associate Professor, Mechanical Engineering",Faculty,"['Wave Propagation, Ultrasonics, Acoustics, Metamaterials, Biomedical']","['https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm', 'https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm', 'https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm', 'https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2003/nsf03613/nsf03613.htm', 'https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm']","Sourav Banerjee, Ph.D.","Department of Mechanical Engineering, University of South Carolina",S3fOoM8AAAAJ,1850,https://scholar.google.com/citations?view_op=medium_photo&user=S3fOoM8AAAAJ,@cec.sc.edu,"['nsf15591', 'nsf05500', 'nsf03560', 'nsf04520', 'nsf06566', 'nsf02189', 'nsf03613', 'nsf08513', 'nsf12598']","[0.8089506030082703, 0.8025189638137817, 0.8009387850761414, 0.7978630065917969, 0.7973471879959106, 0.797191321849823, 0.7904360294342041, 0.7892615795135498, 0.787101686000824]"
7,"Bayat, Mahmoud",Research Associate Professor,Faculty,"['Structural Health Monitoring, Probabilistic Analysis, Nonlinear Vibrations, Machine Learning, Earthquake Eng']","['https://www.nsf.gov/pubs/2007/nsf07534/nsf07534.htm', 'https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm', 'https://www.nsf.gov/pubs/2009/nsf09610/nsf09610.htm', 'https://www.nsf.gov/pubs/2010/nsf10540/nsf10540.htm', 'https://www.nsf.gov/pubs/2012/nsf12502/nsf12502.htm', 'https://www.nsf.gov/pubs/2010/nsf10612/nsf10612.htm', 'https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm', 'https://www.nsf.gov/pubs/2004/nsf04537/nsf04537.htm', 'https://www.nsf.gov/pubs/2004/nsf04522/nsf04522.htm']",Mahmoud Bayat,"Research Associate Professor,University of South Carolina, SC, USA",vnRTUhgAAAAJ,1617,https://scholar.google.com/citations?view_op=medium_photo&user=vnRTUhgAAAAJ,@mailbox.sc.edu,"['nsf07534', 'nsf04538', 'nsf09610', 'nsf10540', 'nsf12502', 'nsf10612', 'nsf12598', 'nsf04537', 'nsf04522']","[0.8066244125366211, 0.8060112595558167, 0.7958879470825195, 0.785351574420929, 0.7849322557449341, 0.7818799614906311, 0.7808222770690918, 0.7784125804901123, 0.777904748916626]"
8,"Bayoumi, Abdel-Moez E. ","Professor Mechanical Engineering, Biomedical Engineering ",Faculty,"['300 Main StreetRoom A223Columbia , SC 29208Dr . Bayoumi has about 40 years teaching , research and industry experience . He is currently the Director of the McNair Aerospace Center , Director of the Center for Predictive Maintenance , Associate Dean for Corporate Relations and Professor of Mechanical and Biomedical Engineering . Prior to joining USC , he was Professor of Mechanical and Aerospace Engineering at North Carolina State University , a project manager at Hewlett Packard Company , and Professor of Mechanical and Materials Engineering at Washington State University . He has been actively involved in developing strong programs in mechanical , biomedical , nuclear and aerospace engineering . His research activities have been focused in mechanical behavior of materials , tribology , diagnosis and prognosis and life predictions of mechanical systems , manufacturing processes , health monitoring systems , condition based maintenance , and digital transformation . Dr . Bayoumi has received more than 35M in funding from the US Department of Defense , US Department of Energy , US National Science Foundation and various US industries . He has published over 150 journal and conference papers']","['https://www.nsf.gov/pubs/2009/nsf09524/nsf09524.htm', 'https://www.nsf.gov/pubs/2005/nsf05616/nsf05616.htm', 'https://www.nsf.gov/pubs/2004/nsf04532/nsf04532.htm', 'https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm', 'https://www.nsf.gov/pubs/2003/nsf03525/nsf03525.htm', 'https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm', 'https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm', 'https://www.nsf.gov/pubs/2018/nsf18556/nsf18556.htm', 'https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm', 'https://www.nsf.gov/pubs/2008/nsf08519/nsf08519.htm']",,,,,,,"['nsf09524', 'nsf05616', 'nsf04532', 'nsf04609', 'nsf03525', 'nsf20500', 'nsf03560', 'nsf18556', 'nsf19509', 'nsf08519']","[0.7863596677780151, 0.7797312140464783, 0.7734496593475342, 0.7732943296432495, 0.7717580199241638, 0.770967960357666, 0.7702728509902954, 0.7694238424301147, 0.7682356834411621, 0.7680935263633728]"
9,"Benigni, Andrea","Affiliate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A80301 Main StreetColumbia , SC 29208']","['https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm', 'https://www.nsf.gov/pubs/2009/nsf09549/nsf09549.htm', 'https://www.nsf.gov/pubs/2006/nsf06587/nsf06587.htm', 'https://www.nsf.gov/pubs/2007/nsf07598/nsf07598.htm', 'https://www.nsf.gov/pubs/2006/nsf06557/nsf06557.htm', 'https://www.nsf.gov/pubs/2014/nsf14514/nsf14514.htm', 'https://www.nsf.gov/pubs/2009/nsf09563/nsf09563.htm', 'https://www.nsf.gov/pubs/2012/nsf12510/nsf12510.htm', 'https://www.nsf.gov/pubs/2008/nsf08561/nsf08561.htm']",,,,,,,"['nsf02189', 'nsf09549', 'nsf06587', 'nsf07598', 'nsf06557', 'nsf14514', 'nsf09563', 'nsf12510', 'nsf08561']","[0.8120912313461304, 0.7600395679473877, 0.7353767156600952, 0.7322326302528381, 0.7322326302528381, 0.7301243543624878, 0.7301243543624878, 0.7301243543624878, 0.7190001010894775]"
